id;name;regular_price;promo_price;brand;city
2391171;Кофе растворимый Московская кофейня на паяхъ Коломбо, 95г;439.00;;Московская;Санкт-Петербург
2138000;"Кофе растворимый Jardin ""Colombia Medellin"", сублимированный, 240 г";800.00;;Jardin;Санкт-Петербург
2678868;Кофе  в зернах Ambassador Platinum, 250 г;424.00;;Ambassador;Санкт-Петербург
2694828;Кофе растворимый MONARCH ORIGINAL, натуральный, сублимированный, 130г;532.00;;MONARCH;Санкт-Петербург
2098525;Кофе молотый турецкий MEHMET EFENDI, банка, 250г;783.00;;MEHMET;Санкт-Петербург
2774792;Кофе в капсулах Coffesso, ассорти 4 вкуса, 40 штук;1100.00;;Coffesso;Санкт-Петербург
2140199;"Кофе растворимый Жокей ""Триумф"", сублимированный, 280 г";759.00;;Жокей;Санкт-Петербург
1953171;Кофе молотый Poetti Daily Classic Crema, натуральный, жареный, 250 г;487.00;;Poetti;Санкт-Петербург
1252084;Кофе в зернах BUSHIDO Red Katana полимерная упаковка 1 кг;2550.00;;BUSHIDO;Санкт-Петербург
2841965;Кофе растворимый MacCoffee Premium, сублимированный, 235 г;715.00;;MacCoffee;Санкт-Петербург
2794156;Кофе в зёрнах MONARCH BRAZILIAN SELECTION,  натуральный, жареный, 800 г;1381.00;;MONARCH;Санкт-Петербург
2779688;Кофе в капсулах MONARCH Lungo 6 Classico, для системы Nespresso, 10 штук по 5,2 г;310.00;;MONARCH;Санкт-Петербург
2419147;Кофе в зернах Coffesso MOKKA  250г;350.00;;Coffesso;Санкт-Петербург
2845176;Kофе в зернах Московская кофейня на Паяхъ ESPRESSO;569.00;;Московская;Санкт-Петербург
5614625;Кофе в зернах Piazza del Caffe Gusto Classico, 900г;1451.00;;Piazza;Санкт-Петербург
2678866;Кофе в зёрнах Ambassador Platinum Crema, 1000 г;1599.00;;Ambassador;Санкт-Петербург
2824257;Кофе растворимый BELAGIO Deluxe, сублимированный, 95 г;299.00;;BELAGIO;Санкт-Петербург
2098513;Кофе в зернах Julius Meinl Espresso (Эспрессо), 100% арабика средняя обжарка 1 кг;2649.00;;Julius;Санкт-Петербург
2391213;Кофе в зернах Жокей Классический, арабика, 500 г;799.00;;Жокей;Санкт-Петербург
2694848;Кофе растворимый MONARCH ORIGINAL INTENSE, натуральный, сублимированный, 130 г;520.00;;MONARCH;Санкт-Петербург
1953137;Кофе в зернах Poetti Daily Classic Crema, натуральный, жареный, 250 г;460.00;;Poetti;Санкт-Петербург
2137998;Кофе в зернах Jardin Americano Crema, арабика, робуста, 1 кг;1649.00;;Jardin;Санкт-Петербург
2641256;Кофе молотый ЖОКЕЙ Традиционный, 250г;417.00;;ЖОКЕЙ;Санкт-Петербург
2586829;Кофе растворимый Tibio Gold Selection, сублимированный, 95 г;400.00;;Tibio;Санкт-Петербург
2678872;Кофе в капсулах Ambassador Gold Label, 10 штук по 5 г;219.00;;Ambassador;Санкт-Петербург
2641202;Кофе в зернах Jardin Cafe Eclair, 1000 г;1581.00;;Jardin;Санкт-Петербург
1853456;Кофе в капсулах Coffesso, ассорти, 4 вкуса, 80 штук;1799.00;;Coffesso;Санкт-Петербург
2880808;Кофе молотый Черная Карта Греция, 200г;309.00;;Черная;Санкт-Петербург
2612222;Kофе рaстворимый Московская кофейня на Паяхъ Арабика, 75 г;379.00;;Московская;Санкт-Петербург
2287633;Кофе растворимый BUSHIDO Light Katana Freeze Jar, стеклянная банка, 100г;946.00;;BUSHIDO;Санкт-Петербург
1953136;Кофе молотый Poetti Leggenda Ruby, натуральный, жареный, 250 г;574.00;;Poetti;Санкт-Петербург
1973885;"Кофе молотый BUSHIDO ""Specialty Coffee"", полимерная упаковка, 227 г";720.00;;BUSHIDO;Санкт-Петербург
1973887;"Кофе растворимый BUSHIDO ""Kodo"", стеклянная банка, 95 г";928.00;;BUSHIDO;Санкт-Петербург
1700049;Кофе в капсулах Coffesso Espresso Superiore, 10 штук;260.00;;Coffesso;Санкт-Петербург
2845175;Kофе молотый Московская кофейня на Паяхъ Суаре, 250 г;559.00;;Московская;Санкт-Петербург
2391190;Кофе растворимый Carte Noire Voyage Au Bresil, сублимированный, 90 г;630.00;;Carte;Санкт-Петербург
2841966;Кофейный напиток Eagle Premium 3в1, растворимый, 50 штук х 18 г;479.00;;Eagle;Санкт-Петербург
2046013;Кофейный напиток MacCoffee 3в1 со вкусом карамели растворимый 25 пакетиков по 18г;415.00;;MacCoffee;Санкт-Петербург
2641249;Кофе растворимый Жокей Gold, сублимированный, 95 г;329.00;;Жокей;Санкт-Петербург
2641200;Кофе в капсулах Jardin Coconut, 10 капсул х 5 г;343.00;;Jardin;Санкт-Петербург
5938939;Кофе в  капсулах  L'OR Espresso 3х52г (156г): Vanilla, Chocolate, Caramel, 30 кап;987.00;;Espresso;Санкт-Петербург
5938962;Кофе растворимый MONARCH ORIGINAL , в стиках 30 шт х 1,8г;400.00;;MONARCH;Санкт-Петербург
2880813;Кофе молотый Черная Карта Arabica, для турки по-восточному, 200г;365.00;;Черная;Санкт-Петербург
2044423;Кофе в зернах EGOISTE Grand Cru, 1 кг;2595.00;;EGOISTE;Санкт-Петербург
2694814;Кофе молотый CARTE NOIRE Intense Absolu, жареный, 230 г;630.00;;CARTE;Санкт-Петербург
2641183;Кофе в капсулах Jardin Ristretto, 10 капсул х 5 г;241.00;;Jardin;Санкт-Петербург
2046022;Кофейный напиток MacCoffee Cappuccino di Torino с шоколадной крошкой 10шт х 25,5г;311.00;;MacCoffee;Санкт-Петербург
5825829;Кофе без кофеина молотый в дрип-пакетах Стрелка Гватемала, 100% арабика, 6 штук х 11,5 г;299.00;;Стрелка;Санкт-Петербург
5938950;Кофе молотый в дрип-пакетах MONARCH АРАБИКА ПЕРУ, 6 штук по 11г;265.00;;MONARCH;Санкт-Петербург
2678942;Кофе в зёрнах Черная Карта, 250 г;400.00;;Черная;Санкт-Петербург
2641198;Кофе молотый Jardin Espresso Di Milano, 250 г;491.00;;Jardin;Санкт-Петербург
2024141;Кофе растворимый Tibio Arabica Exclusive, сублимированный, 95 г;399.00;;Tibio;Санкт-Петербург
2287923;Кофе в зернаx TODAY Blend 8, полимерная упаковка, 200г;436.00;;TODAY;Санкт-Петербург
2694839;Кофе растворимый MONARCH GOLD, натуральный, сублимированный, 190 г;805.00;;MONARCH;Санкт-Петербург
2824259;Кофе в зернах MILAGRO Cappuccino&Crema, 230 г;378.00;;MILAGRO;Санкт-Петербург
1252104;Кофе в зернах EGOISTE Noir, полимерная упаковка, 500 г;1299.00;;EGOISTE;Санкт-Петербург
5936128;"Кофе в капсулах HOME BARISTA ""AROMA"" формата Nespresso (Неспрессо), 60 шт.";1399.00;;HOME;Санкт-Петербург
2140189;"Кофе молотый Жокей ""Баварский шоколад"", 150 г";368.00;;Жокей;Санкт-Петербург
1836411;"Кофе молотый EGOISTE ""Espresso"", полимерная упаковка, 250 г";698.00;;EGOISTE;Санкт-Петербург
2641182;Кофе в зернах Jardin Ethiopia Euphoria, 1000 г;1849.00;;Jardin;Санкт-Петербург
5752700;Кофе молотый в дрип-пакетах MONTARO LUXURY GINZA STYLE, 6 штук х 11 г;322.00;;MONTARO;Санкт-Петербург
5847149;Кофе  в зернах CARTE NOIRE PREMIER CRU COLOMBIA 800г;1715.00;;CARTE;Санкт-Петербург
2137997;Кофе растворимый Jardin Guatemala Atitlan, сублимированный, 95 г;391.00;;Jardin;Санкт-Петербург
